group,variable,value,type
1011,symboling,2,string
1011,normalized-losses,192,string
1011,make,bmw,string
1011,fuel-type,gas,string
1011,aspiration,std,string
1011,num-of-doors,two,string
1011,body-style,sedan,string
1011,drive-wheels,rwd,string
1011,engine-location,front,string
1011,wheel-base,101.2,string
1011,length,176.8,string
1011,width,64.8,string
1011,height,54.3,string
1011,curb-weight,2395,string
1011,engine-type,ohc,string
1011,num-of-cylinders,four,string
1011,engine-size,108,string
1011,fuel-system,mpfi,string
1011,bore,3.5,string
1011,stroke,2.8,string
1011,compression-ratio,8.8,string
1011,horsepower,101,string
1011,peak-rpm,5800,string
1011,city-mpg,23,string
1011,highway-mpg,29,string
1011,price,16430,string
1012,symboling,0,string
1012,normalized-losses,192,string
1012,make,bmw,string
1012,fuel-type,gas,string
1012,aspiration,std,string
1012,num-of-doors,four,string
1012,body-style,sedan,string
1012,drive-wheels,rwd,string
1012,engine-location,front,string
1012,wheel-base,101.2,string
1012,length,176.8,string
1012,width,64.8,string
1012,height,54.3,string
1012,curb-weight,2395,string
1012,engine-type,ohc,string
1012,num-of-cylinders,four,string
1012,engine-size,108,string
1012,fuel-system,mpfi,string
1012,bore,3.5,string
1012,stroke,2.8,string
1012,compression-ratio,8.8,string
1012,horsepower,101,string
1012,peak-rpm,5800,string
1012,city-mpg,23,string
1012,highway-mpg,29,string
1012,price,16925,string
1013,symboling,0,string
1013,normalized-losses,188,string
1013,make,bmw,string
1013,fuel-type,gas,string
1013,aspiration,std,string
1013,num-of-doors,two,string
1013,body-style,sedan,string
1013,drive-wheels,rwd,string
1013,engine-location,front,string
1013,wheel-base,101.2,string
1013,length,176.8,string
1013,width,64.8,string
1013,height,54.3,string
1013,curb-weight,2710,string
1013,engine-type,ohc,string
1013,num-of-cylinders,six,string
1013,engine-size,164,string
1013,fuel-system,mpfi,string
1013,bore,3.31,string
1013,stroke,3.19,string
1013,compression-ratio,9,string
1013,horsepower,121,string
1013,peak-rpm,4250,string
1013,city-mpg,21,string
1013,highway-mpg,28,string
1013,price,20970,string
1014,symboling,0,string
1014,normalized-losses,188,string
1014,make,bmw,string
1014,fuel-type,gas,string
1014,aspiration,std,string
1014,num-of-doors,four,string
1014,body-style,sedan,string
1014,drive-wheels,rwd,string
1014,engine-location,front,string
1014,wheel-base,101.2,string
1014,length,176.8,string
1014,width,64.8,string
1014,height,54.3,string
1014,curb-weight,2765,string
1014,engine-type,ohc,string
1014,num-of-cylinders,six,string
1014,engine-size,164,string
1014,fuel-system,mpfi,string
1014,bore,3.31,string
1014,stroke,3.19,string
1014,compression-ratio,9,string
1014,horsepower,121,string
1014,peak-rpm,4250,string
1014,city-mpg,21,string
1014,highway-mpg,28,string
1014,price,21105,string
1015,symboling,1,string
1015,normalized-losses,missing value,string
1015,make,bmw,string
1015,fuel-type,gas,string
1015,aspiration,std,string
1015,num-of-doors,four,string
1015,body-style,sedan,string
1015,drive-wheels,rwd,string
1015,engine-location,front,string
1015,wheel-base,103.5,string
1015,length,189,string
1015,width,66.9,string
1015,height,55.7,string
1015,curb-weight,3055,string
1015,engine-type,ohc,string
1015,num-of-cylinders,six,string
1015,engine-size,164,string
1015,fuel-system,mpfi,string
1015,bore,3.31,string
1015,stroke,3.19,string
1015,compression-ratio,9,string
1015,horsepower,121,string
1015,peak-rpm,4250,string
1015,city-mpg,20,string
1015,highway-mpg,25,string
1015,price,24565,string
1016,symboling,0,string
1016,normalized-losses,missing value,string
1016,make,bmw,string
1016,fuel-type,gas,string
1016,aspiration,std,string
1016,num-of-doors,four,string
1016,body-style,sedan,string
1016,drive-wheels,rwd,string
1016,engine-location,front,string
1016,wheel-base,103.5,string
1016,length,189,string
1016,width,66.9,string
1016,height,55.7,string
1016,curb-weight,3230,string
1016,engine-type,ohc,string
1016,num-of-cylinders,six,string
1016,engine-size,209,string
1016,fuel-system,mpfi,string
1016,bore,3.62,string
1016,stroke,3.39,string
1016,compression-ratio,8,string
1016,horsepower,182,string
1016,peak-rpm,5400,string
1016,city-mpg,16,string
1016,highway-mpg,22,string
1016,price,30760,string
1017,symboling,0,string
1017,normalized-losses,missing value,string
1017,make,bmw,string
1017,fuel-type,gas,string
1017,aspiration,std,string
1017,num-of-doors,two,string
1017,body-style,sedan,string
1017,drive-wheels,rwd,string
1017,engine-location,front,string
1017,wheel-base,103.5,string
1017,length,193.8,string
1017,width,67.9,string
1017,height,53.7,string
1017,curb-weight,3380,string
1017,engine-type,ohc,string
1017,num-of-cylinders,six,string
1017,engine-size,209,string
1017,fuel-system,mpfi,string
1017,bore,3.62,string
1017,stroke,3.39,string
1017,compression-ratio,8,string
1017,horsepower,182,string
1017,peak-rpm,5400,string
1017,city-mpg,16,string
1017,highway-mpg,22,string
1017,price,41315,string
1018,symboling,0,string
1018,normalized-losses,missing value,string
1018,make,bmw,string
1018,fuel-type,gas,string
1018,aspiration,std,string
1018,num-of-doors,four,string
1018,body-style,sedan,string
1018,drive-wheels,rwd,string
1018,engine-location,front,string
1018,wheel-base,110,string
1018,length,197,string
1018,width,70.9,string
1018,height,56.3,string
1018,curb-weight,3505,string
1018,engine-type,ohc,string
1018,num-of-cylinders,six,string
1018,engine-size,209,string
1018,fuel-system,mpfi,string
1018,bore,3.62,string
1018,stroke,3.39,string
1018,compression-ratio,8,string
1018,horsepower,182,string
1018,peak-rpm,5400,string
1018,city-mpg,15,string
1018,highway-mpg,20,string
1018,price,36880,string
1019,symboling,2,string
1019,normalized-losses,121,string
1019,make,chevrolet,string
1019,fuel-type,gas,string
1019,aspiration,std,string
1019,num-of-doors,two,string
1019,body-style,hatchback,string
1019,drive-wheels,fwd,string
1019,engine-location,front,string
1019,wheel-base,88.4,string
1019,length,141.1,string
1019,width,60.3,string
1019,height,53.2,string
1019,curb-weight,1488,string
1019,engine-type,l,string
1019,num-of-cylinders,three,string
1019,engine-size,61,string
1019,fuel-system,2bbl,string
1019,bore,2.91,string
1019,stroke,3.03,string
1019,compression-ratio,9.5,string
1019,horsepower,48,string
1019,peak-rpm,5100,string
1019,city-mpg,47,string
1019,highway-mpg,53,string
1019,price,5151,string
1020,symboling,1,string
1020,normalized-losses,98,string
1020,make,chevrolet,string
1020,fuel-type,gas,string
1020,aspiration,std,string
1020,num-of-doors,two,string
1020,body-style,hatchback,string
1020,drive-wheels,fwd,string
1020,engine-location,front,string
1020,wheel-base,94.5,string
1020,length,155.9,string
1020,width,63.6,string
1020,height,52,string
1020,curb-weight,1874,string
1020,engine-type,ohc,string
1020,num-of-cylinders,four,string
1020,engine-size,90,string
1020,fuel-system,2bbl,string
1020,bore,3.03,string
1020,stroke,3.11,string
1020,compression-ratio,9.6,string
1020,horsepower,70,string
1020,peak-rpm,5400,string
1020,city-mpg,38,string
1020,highway-mpg,43,string
1020,price,6295,string
1021,symboling,0,string
1021,normalized-losses,81,string
1021,make,chevrolet,string
1021,fuel-type,gas,string
1021,aspiration,std,string
1021,num-of-doors,four,string
1021,body-style,sedan,string
1021,drive-wheels,fwd,string
1021,engine-location,front,string
1021,wheel-base,94.5,string
1021,length,158.8,string
1021,width,63.6,string
1021,height,52,string
1021,curb-weight,1909,string
1021,engine-type,ohc,string
1021,num-of-cylinders,four,string
1021,engine-size,90,string
1021,fuel-system,2bbl,string
1021,bore,3.03,string
1021,stroke,3.11,string
1021,compression-ratio,9.6,string
1021,horsepower,70,string
1021,peak-rpm,5400,string
1021,city-mpg,38,string
1021,highway-mpg,43,string
1021,price,6575,string
1022,symboling,1,string
1022,normalized-losses,118,string
1022,make,dodge,string
1022,fuel-type,gas,string
1022,aspiration,std,string
1022,num-of-doors,two,string
1022,body-style,hatchback,string
1022,drive-wheels,fwd,string
1022,engine-location,front,string
1022,wheel-base,93.7,string
1022,length,157.3,string
1022,width,63.8,string
1022,height,50.8,string
1022,curb-weight,1876,string
1022,engine-type,ohc,string
1022,num-of-cylinders,four,string
1022,engine-size,90,string
1022,fuel-system,2bbl,string
1022,bore,2.97,string
1022,stroke,3.23,string
1022,compression-ratio,9.41,string
1022,horsepower,68,string
1022,peak-rpm,5500,string
1022,city-mpg,37,string
1022,highway-mpg,41,string
1022,price,5572,string
1023,symboling,1,string
1023,normalized-losses,118,string
1023,make,dodge,string
1023,fuel-type,gas,string
1023,aspiration,std,string
1023,num-of-doors,two,string
1023,body-style,hatchback,string
1023,drive-wheels,fwd,string
1023,engine-location,front,string
1023,wheel-base,93.7,string
1023,length,157.3,string
1023,width,63.8,string
1023,height,50.8,string
1023,curb-weight,1876,string
1023,engine-type,ohc,string
1023,num-of-cylinders,four,string
1023,engine-size,90,string
1023,fuel-system,2bbl,string
1023,bore,2.97,string
1023,stroke,3.23,string
1023,compression-ratio,9.4,string
1023,horsepower,68,string
1023,peak-rpm,5500,string
1023,city-mpg,31,string
1023,highway-mpg,38,string
1023,price,6377,string
1024,symboling,1,string
1024,normalized-losses,118,string
1024,make,dodge,string
1024,fuel-type,gas,string
1024,aspiration,turbo,string
1024,num-of-doors,two,string
1024,body-style,hatchback,string
1024,drive-wheels,fwd,string
1024,engine-location,front,string
1024,wheel-base,93.7,string
1024,length,157.3,string
1024,width,63.8,string
1024,height,50.8,string
1024,curb-weight,2128,string
1024,engine-type,ohc,string
1024,num-of-cylinders,four,string
1024,engine-size,98,string
1024,fuel-system,mpfi,string
1024,bore,3.03,string
1024,stroke,3.39,string
1024,compression-ratio,7.6,string
1024,horsepower,102,string
1024,peak-rpm,5500,string
1024,city-mpg,24,string
1024,highway-mpg,30,string
1024,price,7957,string
1025,symboling,1,string
1025,normalized-losses,148,string
1025,make,dodge,string
1025,fuel-type,gas,string
1025,aspiration,std,string
1025,num-of-doors,four,string
1025,body-style,hatchback,string
1025,drive-wheels,fwd,string
1025,engine-location,front,string
1025,wheel-base,93.7,string
1025,length,157.3,string
1025,width,63.8,string
1025,height,50.6,string
1025,curb-weight,1967,string
1025,engine-type,ohc,string
1025,num-of-cylinders,four,string
1025,engine-size,90,string
1025,fuel-system,2bbl,string
1025,bore,2.97,string
1025,stroke,3.23,string
1025,compression-ratio,9.4,string
1025,horsepower,68,string
1025,peak-rpm,5500,string
1025,city-mpg,31,string
1025,highway-mpg,38,string
1025,price,6229,string
1026,symboling,1,string
1026,normalized-losses,148,string
1026,make,dodge,string
1026,fuel-type,gas,string
1026,aspiration,std,string
1026,num-of-doors,four,string
1026,body-style,sedan,string
1026,drive-wheels,fwd,string
1026,engine-location,front,string
1026,wheel-base,93.7,string
1026,length,157.3,string
1026,width,63.8,string
1026,height,50.6,string
1026,curb-weight,1989,string
1026,engine-type,ohc,string
1026,num-of-cylinders,four,string
1026,engine-size,90,string
1026,fuel-system,2bbl,string
1026,bore,2.97,string
1026,stroke,3.23,string
1026,compression-ratio,9.4,string
1026,horsepower,68,string
1026,peak-rpm,5500,string
1026,city-mpg,31,string
1026,highway-mpg,38,string
1026,price,6692,string
1027,symboling,1,string
1027,normalized-losses,148,string
1027,make,dodge,string
1027,fuel-type,gas,string
1027,aspiration,std,string
1027,num-of-doors,four,string
1027,body-style,sedan,string
1027,drive-wheels,fwd,string
1027,engine-location,front,string
1027,wheel-base,93.7,string
1027,length,157.3,string
1027,width,63.8,string
1027,height,50.6,string
1027,curb-weight,1989,string
1027,engine-type,ohc,string
1027,num-of-cylinders,four,string
1027,engine-size,90,string
1027,fuel-system,2bbl,string
1027,bore,2.97,string
1027,stroke,3.23,string
1027,compression-ratio,9.4,string
1027,horsepower,68,string
1027,peak-rpm,5500,string
1027,city-mpg,31,string
1027,highway-mpg,38,string
1027,price,7609,string
1028,symboling,1,string
1028,normalized-losses,148,string
1028,make,dodge,string
1028,fuel-type,gas,string
1028,aspiration,turbo,string
1028,num-of-doors,missing value,string
1028,body-style,sedan,string
1028,drive-wheels,fwd,string
1028,engine-location,front,string
1028,wheel-base,93.7,string
1028,length,157.3,string
1028,width,63.8,string
1028,height,50.6,string
1028,curb-weight,2191,string
1028,engine-type,ohc,string
1028,num-of-cylinders,four,string
1028,engine-size,98,string
1028,fuel-system,mpfi,string
1028,bore,3.03,string
1028,stroke,3.39,string
1028,compression-ratio,7.6,string
1028,horsepower,102,string
1028,peak-rpm,5500,string
1028,city-mpg,24,string
1028,highway-mpg,30,string
1028,price,8558,string
1029,symboling,-1,string
1029,normalized-losses,110,string
1029,make,dodge,string
1029,fuel-type,gas,string
1029,aspiration,std,string
1029,num-of-doors,four,string
1029,body-style,wagon,string
1029,drive-wheels,fwd,string
1029,engine-location,front,string
1029,wheel-base,103.3,string
1029,length,174.6,string
1029,width,64.6,string
1029,height,59.8,string
1029,curb-weight,2535,string
1029,engine-type,ohc,string
1029,num-of-cylinders,four,string
1029,engine-size,122,string
1029,fuel-system,2bbl,string
1029,bore,3.34,string
1029,stroke,3.46,string
1029,compression-ratio,8.5,string
1029,horsepower,88,string
1029,peak-rpm,5000,string
1029,city-mpg,24,string
1029,highway-mpg,30,string
1029,price,8921,string
1030,symboling,3,string
1030,normalized-losses,145,string
1030,make,dodge,string
1030,fuel-type,gas,string
1030,aspiration,turbo,string
1030,num-of-doors,two,string
1030,body-style,hatchback,string
1030,drive-wheels,fwd,string
1030,engine-location,front,string
1030,wheel-base,95.9,string
1030,length,173.2,string
1030,width,66.3,string
1030,height,50.2,string
1030,curb-weight,2811,string
1030,engine-type,ohc,string
1030,num-of-cylinders,four,string
1030,engine-size,156,string
1030,fuel-system,mfi,string
1030,bore,3.6,string
1030,stroke,3.9,string
1030,compression-ratio,7,string
1030,horsepower,145,string
1030,peak-rpm,5000,string
1030,city-mpg,19,string
1030,highway-mpg,24,string
1030,price,12964,string
1031,symboling,2,string
1031,normalized-losses,137,string
1031,make,honda,string
1031,fuel-type,gas,string
1031,aspiration,std,string
1031,num-of-doors,two,string
1031,body-style,hatchback,string
1031,drive-wheels,fwd,string
1031,engine-location,front,string
1031,wheel-base,86.6,string
1031,length,144.6,string
1031,width,63.9,string
1031,height,50.8,string
1031,curb-weight,1713,string
1031,engine-type,ohc,string
1031,num-of-cylinders,four,string
1031,engine-size,92,string
1031,fuel-system,1bbl,string
1031,bore,2.91,string
1031,stroke,3.41,string
1031,compression-ratio,9.6,string
1031,horsepower,58,string
1031,peak-rpm,4800,string
1031,city-mpg,49,string
1031,highway-mpg,54,string
1031,price,6479,string
1032,symboling,2,string
1032,normalized-losses,137,string
1032,make,honda,string
1032,fuel-type,gas,string
1032,aspiration,std,string
1032,num-of-doors,two,string
1032,body-style,hatchback,string
1032,drive-wheels,fwd,string
1032,engine-location,front,string
1032,wheel-base,86.6,string
1032,length,144.6,string
1032,width,63.9,string
1032,height,50.8,string
1032,curb-weight,1819,string
1032,engine-type,ohc,string
1032,num-of-cylinders,four,string
1032,engine-size,92,string
1032,fuel-system,1bbl,string
1032,bore,2.91,string
1032,stroke,3.41,string
1032,compression-ratio,9.2,string
1032,horsepower,76,string
1032,peak-rpm,6000,string
1032,city-mpg,31,string
1032,highway-mpg,38,string
1032,price,6855,string
1033,symboling,1,string
1033,normalized-losses,101,string
1033,make,honda,string
1033,fuel-type,gas,string
1033,aspiration,std,string
1033,num-of-doors,two,string
1033,body-style,hatchback,string
1033,drive-wheels,fwd,string
1033,engine-location,front,string
1033,wheel-base,93.7,string
1033,length,150,string
1033,width,64,string
1033,height,52.6,string
1033,curb-weight,1837,string
1033,engine-type,ohc,string
1033,num-of-cylinders,four,string
1033,engine-size,79,string
1033,fuel-system,1bbl,string
1033,bore,2.91,string
1033,stroke,3.07,string
1033,compression-ratio,10.1,string
1033,horsepower,60,string
1033,peak-rpm,5500,string
1033,city-mpg,38,string
1033,highway-mpg,42,string
1033,price,5399,string
1034,symboling,1,string
1034,normalized-losses,101,string
1034,make,honda,string
1034,fuel-type,gas,string
1034,aspiration,std,string
1034,num-of-doors,two,string
1034,body-style,hatchback,string
1034,drive-wheels,fwd,string
1034,engine-location,front,string
1034,wheel-base,93.7,string
1034,length,150,string
1034,width,64,string
1034,height,52.6,string
1034,curb-weight,1940,string
1034,engine-type,ohc,string
1034,num-of-cylinders,four,string
1034,engine-size,92,string
1034,fuel-system,1bbl,string
1034,bore,2.91,string
1034,stroke,3.41,string
1034,compression-ratio,9.2,string
1034,horsepower,76,string
1034,peak-rpm,6000,string
1034,city-mpg,30,string
1034,highway-mpg,34,string
1034,price,6529,string
1035,symboling,1,string
1035,normalized-losses,101,string
1035,make,honda,string
1035,fuel-type,gas,string
1035,aspiration,std,string
1035,num-of-doors,two,string
1035,body-style,hatchback,string
1035,drive-wheels,fwd,string
1035,engine-location,front,string
1035,wheel-base,93.7,string
1035,length,150,string
1035,width,64,string
1035,height,52.6,string
1035,curb-weight,1956,string
1035,engine-type,ohc,string
1035,num-of-cylinders,four,string
1035,engine-size,92,string
1035,fuel-system,1bbl,string
1035,bore,2.91,string
1035,stroke,3.41,string
1035,compression-ratio,9.2,string
1035,horsepower,76,string
1035,peak-rpm,6000,string
1035,city-mpg,30,string
1035,highway-mpg,34,string
1035,price,7129,string
1036,symboling,0,string
1036,normalized-losses,110,string
1036,make,honda,string
1036,fuel-type,gas,string
1036,aspiration,std,string
1036,num-of-doors,four,string
1036,body-style,sedan,string
1036,drive-wheels,fwd,string
1036,engine-location,front,string
1036,wheel-base,96.5,string
1036,length,163.4,string
1036,width,64,string
1036,height,54.5,string
1036,curb-weight,2010,string
1036,engine-type,ohc,string
1036,num-of-cylinders,four,string
1036,engine-size,92,string
1036,fuel-system,1bbl,string
1036,bore,2.91,string
1036,stroke,3.41,string
1036,compression-ratio,9.2,string
1036,horsepower,76,string
1036,peak-rpm,6000,string
1036,city-mpg,30,string
1036,highway-mpg,34,string
1036,price,7295,string
1037,symboling,0,string
1037,normalized-losses,78,string
1037,make,honda,string
1037,fuel-type,gas,string
1037,aspiration,std,string
1037,num-of-doors,four,string
1037,body-style,wagon,string
1037,drive-wheels,fwd,string
1037,engine-location,front,string
1037,wheel-base,96.5,string
1037,length,157.1,string
1037,width,63.9,string
1037,height,58.3,string
1037,curb-weight,2024,string
1037,engine-type,ohc,string
1037,num-of-cylinders,four,string
1037,engine-size,92,string
1037,fuel-system,1bbl,string
1037,bore,2.92,string
1037,stroke,3.41,string
1037,compression-ratio,9.2,string
1037,horsepower,76,string
1037,peak-rpm,6000,string
1037,city-mpg,30,string
1037,highway-mpg,34,string
1037,price,7295,string
1038,symboling,0,string
1038,normalized-losses,106,string
1038,make,honda,string
1038,fuel-type,gas,string
1038,aspiration,std,string
1038,num-of-doors,two,string
1038,body-style,hatchback,string
1038,drive-wheels,fwd,string
1038,engine-location,front,string
1038,wheel-base,96.5,string
1038,length,167.5,string
1038,width,65.2,string
1038,height,53.3,string
1038,curb-weight,2236,string
1038,engine-type,ohc,string
1038,num-of-cylinders,four,string
1038,engine-size,110,string
1038,fuel-system,1bbl,string
1038,bore,3.15,string
1038,stroke,3.58,string
1038,compression-ratio,9,string
1038,horsepower,86,string
1038,peak-rpm,5800,string
1038,city-mpg,27,string
1038,highway-mpg,33,string
1038,price,7895,string
1039,symboling,0,string
1039,normalized-losses,106,string
1039,make,honda,string
1039,fuel-type,gas,string
1039,aspiration,std,string
1039,num-of-doors,two,string
1039,body-style,hatchback,string
1039,drive-wheels,fwd,string
1039,engine-location,front,string
1039,wheel-base,96.5,string
1039,length,167.5,string
1039,width,65.2,string
1039,height,53.3,string
1039,curb-weight,2289,string
1039,engine-type,ohc,string
1039,num-of-cylinders,four,string
1039,engine-size,110,string
1039,fuel-system,1bbl,string
1039,bore,3.15,string
1039,stroke,3.58,string
1039,compression-ratio,9,string
1039,horsepower,86,string
1039,peak-rpm,5800,string
1039,city-mpg,27,string
1039,highway-mpg,33,string
1039,price,9095,string
1040,symboling,0,string
1040,normalized-losses,85,string
1040,make,honda,string
1040,fuel-type,gas,string
1040,aspiration,std,string
1040,num-of-doors,four,string
1040,body-style,sedan,string
1040,drive-wheels,fwd,string
1040,engine-location,front,string
1040,wheel-base,96.5,string
1040,length,175.4,string
1040,width,65.2,string
1040,height,54.1,string
1040,curb-weight,2304,string
1040,engine-type,ohc,string
1040,num-of-cylinders,four,string
1040,engine-size,110,string
1040,fuel-system,1bbl,string
1040,bore,3.15,string
1040,stroke,3.58,string
1040,compression-ratio,9,string
1040,horsepower,86,string
1040,peak-rpm,5800,string
1040,city-mpg,27,string
1040,highway-mpg,33,string
1040,price,8845,string
1041,symboling,0,string
1041,normalized-losses,85,string
1041,make,honda,string
1041,fuel-type,gas,string
1041,aspiration,std,string
1041,num-of-doors,four,string
1041,body-style,sedan,string
1041,drive-wheels,fwd,string
1041,engine-location,front,string
1041,wheel-base,96.5,string
1041,length,175.4,string
1041,width,62.5,string
1041,height,54.1,string
1041,curb-weight,2372,string
1041,engine-type,ohc,string
1041,num-of-cylinders,four,string
1041,engine-size,110,string
1041,fuel-system,1bbl,string
1041,bore,3.15,string
1041,stroke,3.58,string
1041,compression-ratio,9,string
1041,horsepower,86,string
1041,peak-rpm,5800,string
1041,city-mpg,27,string
